data_reuniao,tema,descricao,responsavel,prazo,status,data_resolucao,observacoes
11/07/2025,Exemplo - compra de cimento,Definir novo fornecedor de cimento para reduzir custo em Morada Bela e Morada Bela II,Guilherme,18/07/2025,Resolvido,17/07/2025,Fechado com a RR Comercio - preco negociado
17/07/2026,Extrato mensal da conta da JV,Guilherme envia extrato da conta da JV de todos os meses enquanto a JV estiver ativa - para encontro de contas,Guilherme,17/07/2026,Resolvido,26/07/2026,Extrato enviado e usado na conciliacao com empreendimentos_jv.csv (ver item Encontro de contas Arca x Camurim)
17/07/2026,Encontro de contas Arca x Camurim,Validar o acerto de contas entre Arca e Camurim comparando a planilha de custos com as despesas reais,Rafael e Diogo,,Parcialmente resolvido,20/07/2026,"Extrato bancario da conta JV (C6) conciliado com empreendimentos_jv.csv - ver Conciliacao_Extrato_JV_x_Custos.xlsx. Custos batem (sem achados de gasto nao registrado). Acerto 50/50 confirmado para Morada Bela II (aporte a aporte, aportes_jv.csv): Camurim R$1.250 acima do alvo - Arca aporta mais R$2.500 ou reembolsa R$1.250 direto. Para Morada Bela I, extrato mostra R$240.174,56 (Camurim) x R$194.582,31 (Arca), mas NAO tratamos isso como aporte real confirmado - essa JV roteia parte do aporte da Arca pela conta da Camurim, entao o extrato sozinho nao distingue de quem e o dinheiro. Pendente: confirmar com a propria Arca o aporte real dela em Morada Bela I antes de fechar esse numero (corrigido em 26/07/2026 apos questionamento do Rafael - a primeira leitura tinha tratado o dado do extrato como aporte real de cada empresa, o que inflava indevidamente o valor devido pela Arca)."
17/07/2026,Reuniao com Arca - destituicao da JV,Agendar reuniao com a Arca para destituicao da JV,Guilherme,,Pendente,,Prazo: na sequencia do levantamento do encontro de contas (planilha e conta)
17/07/2026,Memorial descritivo - Habite-se lote 17,Alexandre envia o memorial descritivo do condominio para dar entrada no Habite-se do lote 17,Ayrson,22/07/2026,Pendente,,Prazo estimado: 5 dias apos o envio (Alexandre enviaria em 17/07)
17/07/2026,Duas Primeiras Casas - telhado e pintura,Terminar o telhado nessa semana quando chegarem as mantas e avaliar quando fazer a pintura de um quarto de uma das casas,Ayrson,24/07/2026,Pendente,,Prazo estimado: proxima semana (mencionado na reuniao de 17/07)
13/07/2026,Reembolso do aporte de 13/07 - Diogo para Guilherme,Guilherme adiantou R$2400 do aporte de 13/07/2026 (R$800 de cada socio - Rafael Diogo Guilherme). Rafael ja reembolsou sua parte direto a Guilherme. Falta Diogo reembolsar R$800 a Guilherme para zerar a conta desse aporte,Diogo,,Pendente,,Reembolso e entre socios - nao passa pelo caixa da Camurim
03/07/2026,Reembolso do aporte JV de 03/07 - Diogo para Guilherme,Guilherme adiantou R$2500 (aporte da Camurim na JV para Morada Bela II - ver aportes_jv.csv) dividido em 3 partes de aprox R$833,33 (Rafael Diogo Guilherme). Rafael ja reembolsou sua parte direto a Guilherme. Falta Diogo reembolsar aprox R$833,33 a Guilherme,Diogo,,Pendente,,Reembolso entre socios - nao passa pelo caixa da Camurim; confirmado por Rafael em 20/07/2026
05/09/2026,Acerto de contas entre socios - reembolso de aportes desde junho/2026,Socios decidiram que os ultimos aportes feitos desde junho/2026 serao reembolsados pela receita da Camurim no negocio (Morada Bela / Morada Bela II). Valores: Rafael R$2.834,00; Diogo R$2.000,00; Guilherme R$20.753,54 (total R$25.587,54),Camurim (caixa da empresa),,Pendente,,"Registrado em capital_social.csv com status A REEMBOLSAR (nao conta no capital corrente ate o pagamento sair de fato). Sera pago com receita das vendas de Morada Bela/Morada Bela II - sem data definida ainda."
05/09/2026,Correcao no capital social - duplicidade e aportes faltantes de Guilherme,"Rafael identificou 3 lancamentos duplicados em capital_social.csv (Guilherme 03/07, Diogo 08/07 e Rafael 08/07, R$834,00 cada) referentes ao mesmo aporte de R$2.500 na JV ja registrado corretamente como 833,33/833,33/833,34 - removidos. Tambem foram incluidos 6 aportes proprios de Guilherme ainda nao lancados: R$1.350,00 e R$535,54 (10/08), R$5.000,00 (17/08), R$3.000,00 (26/08), R$4.200,00 (27/08) e R$3.000,00 (28/08) - total R$17.085,54",Rafael,,Resolvido,05/09/2026,"Confirmado por Rafael: os 4 ultimos (17/08 a 28/08) tambem ja estao em aportes_jv.csv (CAMURIM, Morada Bela II); os dois de 10/08 sao so capital social, sem projeto associado ainda."
